,交易所,代码,公司,行业,亮点数目,风险数目
0,SZ,300071,华谊嘉信,传媒,0,8
1,SZ,2420,ST毅昌,家用电器,0,5
2,SH,600556,天下秀,传媒,5,2
3,SZ,2260,*ST德奥,家用电器,0,10
4,SZ,300291,华录百纳,传媒,0,7
5,SZ,300242,佳云科技,传媒,1,5
6,SZ,2098,浔兴股份,服装与配饰,1,8
7,SZ,793,华闻集团,传媒,1,7
8,SZ,2668,奥马电器,家用电器,0,5
9,SZ,300063,天龙集团,传媒,1,7
10,SZ,300279,和晶科技,家用电器,0,6
11,SZ,300426,唐德影视,传媒,1,9
12,SZ,2569,ST步森,服装与配饰,2,9
13,SZ,2343,慈文传媒,传媒,1,3
14,SZ,38,深大通,传媒,2,7
15,SH,600146,*ST环球,服装与配饰,0,11
16,SZ,2654,万润科技,传媒,1,5
17,SZ,2103,广博股份,传媒,1,2
18,SH,600319,ST亚星,化学原料,0,11
19,SZ,2476,宝莫股份,化学原料,3,4
20,SZ,918,嘉凯城,住宅地产开发和管理,0,5
21,SH,600234,ST山水,传媒,1,7
22,SH,600052,浙江广厦,住宅地产开发和管理,0,7
23,SZ,300528,幸福蓝海,传媒,0,5
24,SZ,2045,国光电器,家用电器,0,2
25,SZ,300148,天舟文化,传媒,1,4
26,SZ,2131,利欧股份,传媒,1,2
27,SZ,300364,中文在线,传媒,3,2
28,SH,600568,*ST中珠,住宅地产开发和管理,0,9
29,SH,600880,博瑞传播,传媒,0,1
30,SH,600890,中房股份,住宅地产开发和管理,1,5
31,SZ,897,津滨发展,住宅地产开发和管理,2,3
32,SH,600385,ST金泰,服装与配饰,0,8
33,SH,600647,同达创业,住宅地产开发和管理,1,5
34,SZ,2723,金莱特,家用电器,0,4
35,SZ,517,荣安地产,住宅地产开发和管理,4,3
36,SH,603366,日出东方,家用电器,1,1
37,SZ,2005,*ST德豪,家用电器,1,9
38,SZ,2848,高斯贝尔,家用电器,0,8
39,SZ,300405,科隆股份,化学原料,3,5
40,SZ,863,三湘印象,住宅地产开发和管理,1,3
41,SH,600715,文投控股,传媒,0,4
42,SZ,985,大庆华科,化学原料,1,5
43,SH,688169,石头科技,家用电器,6,1
44,SZ,755,山西路桥,化学原料,0,8
45,SH,600328,中盐化工,化学原料,2,6
46,SZ,2208,合肥城建,住宅地产开发和管理,1,2
47,SZ,2429,兆驰股份,家用电器,3,3
48,SZ,300019,硅宝科技,化学原料,4,2
49,SZ,961,中南建设,住宅地产开发和管理,5,2
50,SH,603958,哈森股份,服装与配饰,2,3
51,SZ,810,创维数字,家用电器,2,1
52,SH,600149,ST坊展,工业地产开发和管理,1,8
53,SH,600848,上海临港,工业地产开发和管理,4,3
54,SZ,514,渝开发,住宅地产开发和管理,1,2
55,SH,600064,南京高科,住宅地产开发和管理,3,3
56,SZ,300200,高盟新材,化学原料,2,4
57,SH,603026,石大胜华,化学原料,0,3
58,SZ,558,莱茵体育,住宅地产开发和管理,0,7
59,SH,600336,澳柯玛,家用电器,2,2
60,SZ,609,中迪投资,住宅地产开发和管理,0,5
61,SH,603519,立霸股份,家用电器,1,3
62,SH,600565,迪马股份,住宅地产开发和管理,2,2
63,SH,605168,三人行,传媒,2,2
64,SZ,2291,星期六,服装与配饰,3,10
65,SZ,2616,长青集团,家用电器,3,2
66,SZ,2154,报喜鸟,服装与配饰,2,1
67,SH,600107,美尔雅,服装与配饰,1,6
68,SZ,2895,川恒股份,化学原料,3,1
69,SH,600510,黑牡丹,住宅地产开发和管理,2,2
70,SZ,300392,腾信股份,传媒,1,7
71,SZ,529,广弘控股,传媒,4,2
72,SZ,300280,紫天科技,传媒,2,5
73,SZ,300214,日科化学,化学原料,2,1
74,SH,600340,华夏幸福,住宅地产开发和管理,5,4
75,SZ,2634,棒杰股份,服装与配饰,1,2
76,SZ,2351,漫步者,家用电器,5,3
77,SZ,2165,红宝丽,化学原料,2,2
78,SH,603825,华扬联众,传媒,4,3
79,SZ,2677,浙江美大,家用电器,8,1
80,SZ,2832,比音勒芬,服装与配饰,5,1
81,SZ,2705,新宝股份,家用电器,6,2
82,SZ,11,深物业A,住宅地产开发和管理,3,2
83,SH,600603,广汇物流,住宅地产开发和管理,4,2
84,SH,600503,华丽家族,住宅地产开发和管理,2,2
85,SZ,300625,三雄极光,家用电器,1,2
86,SZ,300058,蓝色光标,传媒,4,2
87,SZ,300342,天银机电,家用电器,0,3
88,SZ,718,苏宁环球,住宅地产开发和管理,4,2
89,SH,603110,东方材料,化学原料,2,3
90,SZ,2802,洪汇新材,化学原料,4,1
91,SZ,42,中洲控股,商业地产开发和管理,3,2
92,SH,600048,保利地产,住宅地产开发和管理,5,0
93,SH,600807,济南高新,住宅地产开发和管理,0,8
94,SZ,668,荣丰控股,住宅地产开发和管理,1,7
95,SH,603355,莱克电气,家用电器,1,1
96,SZ,300041,回天新材,化学原料,4,2
97,SZ,2721,金一文化,服装与配饰,0,8
98,SZ,2053,云南能投,化学原料,1,4
99,SH,600266,城建发展,住宅地产开发和管理,1,3
100,SH,600078,澄星股份,化学原料,1,6
101,SZ,2250,联化科技,化学原料,4,4
102,SH,600162,香江控股,商业地产开发和管理,1,2
103,SH,603181,皇马科技,化学原料,4,2
104,SZ,2648,卫星石化,化学原料,5,1
105,SZ,2878,元隆雅图,传媒,6,1
106,SH,600261,阳光照明,家用电器,4,0
107,SZ,300475,聚隆科技,家用电器,2,5
108,SZ,2409,雅克科技,化学原料,3,1
109,SH,600077,宋都股份,住宅地产开发和管理,1,2
110,SH,600376,首开股份,住宅地产开发和管理,2,1
111,SH,600246,万通发展,住宅地产开发和管理,0,3
112,SH,600533,栖霞建设,住宅地产开发和管理,0,3
113,SH,603558,健盛集团,服装与配饰,3,2
114,SH,603303,得邦照明,家用电器,4,2
115,SH,600223,鲁商发展,住宅地产开发和管理,2,2
116,SH,603077,和邦生物,化学原料,1,5
117,SH,600466,蓝光发展,住宅地产开发和管理,4,2
118,SZ,965,天保基建,住宅地产开发和管理,1,2
119,SZ,2687,乔治白,服装与配饰,1,2
120,SH,601208,东材科技,化学原料,2,4
121,SZ,2601,龙蟒佰利,化学原料,6,2
122,SH,600606,绿地控股,住宅地产开发和管理,4,1
123,SH,601811,新华文轩,传媒,2,1
124,SH,600060,海信视像,家用电器,2,1
125,SZ,2244,滨江集团,住宅地产开发和管理,2,2
126,SH,600094,大名城,住宅地产开发和管理,1,3
127,SH,600690,海尔智家,家用电器,6,2
128,SH,600383,金地集团,住宅地产开发和管理,4,0
129,SH,603999,读者传媒,传媒,1,2
