gpr_inc_2018,score,eps_2019,score
"(-inf, -0.0829]",-16.6,"(-inf, 0.0266]",-41.3
"(-0.0829, -0.041]",-19.2,"(0.0266, 0.09]",-18.3
"(-0.041, -0.02]",-2.3,"(0.09, 0.267]",-5.8
"(-0.02, -0.0028]",5.4,"(0.267, inf]",27.2
"(-0.0028, inf]",6.0,ncf_rp_bin,score
toar_2017,score,"(-inf, -2.0]",-36.2
"(-inf, 2.459]",-21.5,"(-2.0, -1.0]",4.1
"(2.459, 3.73]",-14.8,"(-1.0, 1.0]",20.5
"(3.73, 5.655]",-7.5,"(1.0, inf]",64.8
"(5.655, inf]",12.7,lvrg_inc_2018,score
gpr_2019,score,"(-inf, -0.581]",-23.6
"(-inf, 0.106]",-59.7,"(-0.581, -0.158]",11.2
"(0.106, 0.206]",-14.2,"(-0.158, -0.0018]",4.3
"(0.206, 0.306]",5.3,"(-0.0018, 0.111]",10.3
"(0.306, 0.426]",8.1,"(0.111, 0.466]",8.1
"(0.426, inf]",10.1,"(0.466, inf]",-36.6
